koaza_name,oaza_name
字西日成,刈谷
字東日成,刈谷
字中山,刈谷
字角兵衛山,刈谷
字花捨山,刈谷
字山屋敷,刈谷
字瓦,刈谷
字八丁南東,刈谷
字芦野,刈谷
字大土井,刈谷
字重原道北,刈谷
字重原道南,刈谷
字野田道北,刈谷
字野田道南,刈谷
字二本木,刈谷
字高須道東,刈谷
字高須道西,刈谷
字大坪,刈谷
字八丁南,刈谷
字太郎池,刈谷
字元法土,刈谷
字向畑,刈谷
字二ツ池下,刈谷
字八丁南西,刈谷
字八丁南裏,刈谷
字葭池,刈谷
字十念寺裏,刈谷
字藤池下,刈谷
字八丁北西,刈谷
字新町,刈谷
字八丁北裏,刈谷
字寺西,刈谷
字末町,刈谷
字新中根,刈谷
字元中根南,刈谷
字緒川町南,刈谷
字正木新道,刈谷
字肴町,刈谷
字元中根,刈谷
字中町,刈谷
字本町,刈谷
字下町,刈谷
字寺横町,刈谷
字磧川,刈谷
字寺前,刈谷
字北寺山,刈谷
字南寺山,刈谷
字中磧,刈谷
字栗ノ木,刈谷
字滑畔,刈谷
字八丁北東,刈谷
字山之神西,刈谷
字上磧,刈谷
字元山之神,刈谷
字岡留池,刈谷
字狐林,刈谷
字山ノ神,刈谷
字常慶,刈谷
字御霊山,刈谷
字十三塚,刈谷
字八軒屋,刈谷
字切替,刈谷
字六地蔵,刈谷
字大池,刈谷
字東大溝,刈谷
字北大溝,刈谷
字西大溝,刈谷
字旧城廓,刈谷
字緒川町北,刈谷
字市原,刈谷
字御茶屋,刈谷
字中瀬,刈谷
字末浜新田,熊
字向山,熊
字鷺縄手,熊
字五反畑,熊
字北屋敷,熊
字本屋敷,熊
字前屋敷,熊
字下堰,熊
字新々田,熊
字三代淵,熊
字古久手,熊
字宝前,熊
字堰,熊
字中道,熊
字神原美,熊
字北矢場,熊
字油木,熊
字矢場,熊
字与八新ラ田,熊
字萩田,熊
字与吉新ラ田,熊
字弥陀坂,元刈谷
字北山,元刈谷
字乙戌新畑,元刈谷
字甲戌新畑,元刈谷
字巳ノ新田,元刈谷
字法土前,元刈谷
字三角,元刈谷
字未新切,元刈谷
字粕根,元刈谷
字清池,元刈谷
字古新田,元刈谷
字畦山,元刈谷
字深見,元刈谷
字新田鷹場,元刈谷
字家中新田,元刈谷
字湯山,元刈谷
字荒浜,元刈谷
字東屋敷,元刈谷
字中根道,元刈谷
字下屋敷,元刈谷
字大堺,元刈谷
字小山,元刈谷
字南大坪,元刈谷
字西大坪,元刈谷
字刈谷堺,元刈谷
字上大坪,元刈谷
字五軒屋敷,元刈谷
字長羽作,元刈谷
字中大坪,元刈谷
字南中屋敷,元刈谷
字北屋敷,元刈谷
字西中屋敷,元刈谷
字西屋敷,元刈谷
字郷下,元刈谷
字南屋敷,元刈谷
字甲蓮台,元刈谷
字天王,元刈谷
字乙蓮台,元刈谷
字山東,元刈谷
字小垣江道,元刈谷
字中新畑,元刈谷
字江口,元刈谷
字下大坪,元刈谷
字久保田道,元刈谷
字久保田,元刈谷
字新田中島,元刈谷
字中割,元刈谷
字前橋,元刈谷
字小川尻,元刈谷
字新田大堤,元刈谷
字八右エ門新田,元刈谷
字中石新田,元刈谷
字流作新田,元刈谷
字中市新田,元刈谷
字試作場,元刈谷
字大溝,元刈谷
字後田,元刈谷
字乙鳥新田,元刈谷
字角新田,元刈谷
字堀割,小山
字覚円,小山
字鐘山,小山
字遠新切,小山
字文左,小山
字湯山,小山
字辰畑,小山
字出口東,小山
字猿振,小山
字中手山,小山
字神明,小山
字家下,小山
字日高,小山
字南田,小山
字中根山,小山
字中根山東,小山
字中根山中,小山
字稲葉屋敷,小山
字神子作,小山
字中屋敷,小山
字角明,小山
字日待,小山
字六田,小山
字焼田,小山
字山池東,小山
字中恩田南,小山
字陣場,小山
字焼後,小山
字三箇山,小山
字重原境,小山
字恩田前,小山
字恩田西,小山
字中新切,小山
字恩田裏,小山
字恩田,小山
字狐林,小山
字中恩田,小山
字片坂,小山
字細田,小山
字棚田,小山
字池田,小山
字八挟間,小山
字稲荷西,小山
字稲葉,小山
字東屋敷,小山
字寺屋敷,小山
字西屋敷,小山
字佐太屋敷,小山
字東浦,小山
字天白,小山
字円右,小山
字八ツ崎,小山
字石盛,小山
字片坂,小山
字泉山,小山
字新田屋敷,小山
字八幡下,小山
字古新田,小山
字廣見,小山
字東六反,小山
字西六反,小山
字一番割,小山
字北割,小山
字沼田,小山
字浜新田,小山
字試作,小山
字恩田,下重原
字柳久手,下重原
字八軒屋,下重原
字東売池,下重原
字西売池,下重原
字西山,下重原
字中山,下重原
字中新切,下重原
字鉄丁,下重原
字西新切,下重原
字焔硝倉,下重原
字八枚,下重原
字御弓挟間,下重原
字一色,下重原
字薬師,下重原
字鍛冶荒井,下重原
字中條,下重原
字東屋敷,下重原
字白砂,下重原
字西屋敷,下重原
字北屋敷,下重原
字南屋敷,下重原
字間瀬口,下重原
字上新田,下重原
字陣屋下,下重原
字川田,下重原
字郷土,下重原
字下新田,下重原
字官林,高津波
字丸荒田,高津波
字原崎,高津波
字應別,高津波
字五反畑,高津波
字葭池,高津波
字久伝田,高津波
字鳶根,高津波
字弥左,高津波
字久根木,高津波
字荒畑,高津波
字人倉,高津波
字涼松,高津波
字上田,高津波
字池端,高津波
字山ノ神,高津波
字東向山,高津波
字西向山,高津波
字一橋,高津波
字出口,高津波
字鉄砲場,高津波
字満瀬,高津波
字内林,高津波
字脊戸山,高津波
字神明,高津波
字家下,高津波
字ガケハタ,高津波
字古新田,高津波
字浜田,高津波
字浜道,高津波
字南蕨,高津波
字末浜新田北,高津波
字末浜新田南,高津波
字浜畑,高津波
字銭亀,高津波
